X_Coordinate,Y_Coordinate
0.000000000000000000e+00,0.000000000000000000e+00
2.579538651088051238e-04,4.316963542336160948e-04
3.752685691790802773e-04,5.141124377089945378e-04
6.068386107811084762e-04,6.405742745307502206e-04
1.177726321957552015e-03,8.541718979621813149e-04
2.303966522506708647e-03,1.098064418000596100e-03
3.416955100027532430e-03,1.220755364211631140e-03
4.517885128677219184e-03,1.263469460664631361e-03
6.682706962554119806e-03,1.168826200064500536e-03
8.793556985346073079e-03,8.751332738607380674e-04
1.084350045164600602e-02,4.054833914476580273e-04
1.282446897178872447e-02,-2.286399576601014921e-04
1.472465605990995463e-02,-1.026037775957148838e-03
1.653478069762063379e-02,-1.978088235803321555e-03
1.824516542953713225e-02,-3.077505027767696473e-03
1.985030935582330486e-02,-4.311285560648842226e-03
2.134674277056525932e-02,-5.666664742234913364e-03
2.273307033474174232e-02,-7.131496305856300545e-03
2.400955079796496944e-02,-8.694949644805795991e-03
2.517920187433741325e-02,-1.034650272864613176e-02
2.624922242424087421e-02,-1.207531450066793438e-02
2.723034642163433758e-02,-1.387158759547934064e-02
2.812716043408765645e-02,-1.573301758270233622e-02
2.894211089225934633e-02,-1.765960480009108602e-02
2.967876342529645120e-02,-1.965112127484185470e-02
3.033930938222935067e-02,-2.170845133906969607e-02
3.031800739187891225e-02,-2.171792223466409433e-02
2.915734962713903422e-02,-1.991150188327363985e-02
2.794525505776308816e-02,-1.821741865155680762e-02
2.668391503278143631e-02,-1.663655687162864452e-02
2.537689518134114697e-02,-1.516868857068544643e-02
2.402664193410071827e-02,-1.381381408648133316e-02
2.263774185863001373e-02,-1.256962898863830773e-02
2.122092892888801166e-02,-1.142633591176452426e-02
1.978340200525652293e-02,-1.037309379915059629e-02
1.832817880183800624e-02,-9.399380620359252397e-03
1.685551806824468757e-02,-8.494365768683283940e-03
1.536402446545531014e-02,-7.645902977453085912e-03
1.385022828755597818e-02,-6.841227154456818935e-03
1.230862863471055002e-02,-6.067335708493034295e-03
1.072954805153539942e-02,-5.316942330130828773e-03
9.103705519641454996e-03,-4.581425191730028636e-03
7.419294553164449899e-03,-3.859585295785243533e-03
5.668246762439189089e-03,-3.139939152781836672e-03
3.843627402058597421e-03,-2.399394053325493333e-03
2.902008065801934406e-03,-2.005892292775766743e-03
1.940561433231338326e-03,-1.576951359755679287e-03
9.604805785040060849e-04,-1.071346530195886257e-03
4.662505700978041186e-04,-7.435943809866434745e-04
2.695415147038193737e-04,-5.745883712639002737e-04
1.722383825983120678e-04,-4.715682664973430823e-04
0.000000000000000000e+00,0.000000000000000000e+00
