X_Coordinate,Y_Coordinate
0.000000000000000000e+00,0.000000000000000000e+00
4.310573962887584171e-04,3.264664006080595033e-04
5.751322085107741936e-04,3.619771398339802042e-04
8.431759242736137439e-04,3.963676563068083874e-04
1.460529513497253306e-03,3.850733765819943115e-04
2.604239363316135369e-03,1.921779153867646250e-04
3.690473765466413449e-03,-1.086102389881646313e-04
4.739739433837118765e-03,-4.768886780812052993e-04
6.755565928747748680e-03,-1.356105958201519676e-03
8.678151474610052915e-03,-2.383042210811815199e-03
1.051465680975185481e-02,-3.532603051649268241e-03
1.226600935478024297e-02,-4.791596270664309071e-03
1.392557718659776303e-02,-6.157186078224821842e-03
1.549166091725746354e-02,-7.620786694682443567e-03
1.696113360606273449e-02,-9.176053548073850180e-03
1.833585266601411856e-02,-1.081236755198509460e-02
1.961834759072901210e-02,-1.251998154876510921e-02
2.081174061548873161e-02,-1.429006426872038091e-02
2.191925098892847160e-02,-1.611504139298297958e-02
2.294570672956232696e-02,-1.798736081573922702e-02
2.389927599842418121e-02,-1.989855546063998282e-02
2.479078466553779475e-02,-2.184023893147798642e-02
2.562319034268981111e-02,-2.381058631553015226e-02
2.639695790854118540e-02,-2.580960829837359097e-02
2.711390471302066105e-02,-2.783667808297847490e-02
2.777452013741657511e-02,-2.989202861157887192e-02
2.775143380001954263e-02,-2.990285778632076341e-02
2.654492499446170842e-02,-2.812419909067803356e-02
2.529904509878552754e-02,-2.640612964097117932e-02
2.401428349427935094e-02,-2.474888237943425121e-02
2.269245753087191508e-02,-2.315183050903744585e-02
2.133403208722417857e-02,-2.161498471535784963e-02
1.994196477512277452e-02,-2.013652008567239429e-02
1.852708146459147720e-02,-1.870805022377382623e-02
1.709755031666415973e-02,-1.732110805331298076e-02
1.565819934985493433e-02,-1.596814146847619700e-02
1.421224781279896432e-02,-1.464157615039553273e-02
1.276281794077759393e-02,-1.333258082937748695e-02
1.131243922740820737e-02,-1.203140834777098947e-02
9.862969085691349058e-03,-1.072743961916208452e-02
8.411280574930412451e-03,-9.414330071587463655e-03
6.955674307178443504e-03,-8.083493925398747837e-03
5.489518359337986972e-03,-6.732095390963830327e-03
4.013740152016131470e-03,-5.346942258233138359e-03
2.535500423540702070e-03,-3.902940142943849607e-03
1.801844553892664735e-03,-3.142935130556357738e-03
1.081231800473725704e-03,-2.337657330933600765e-03
3.941688771729144614e-04,-1.446704335613989119e-03
8.716397325527961001e-05,-9.244059486374500570e-04
-1.621050146692387586e-05,-6.781335903078798688e-04
-5.820366875068677020e-05,-5.370151926158308990e-04
0.000000000000000000e+00,0.000000000000000000e+00
