X_Coordinate,Y_Coordinate
0.000000000000000000e+00,0.000000000000000000e+00
3.468877646478249173e-04,7.681327002071426310e-04
5.191518862215590592e-04,9.267286333884263783e-04
8.619395911708912540e-04,1.181038481286532903e-03
1.710524831980803854e-03,1.655824279295530898e-03
3.378300018741250185e-03,2.350103575151042765e-03
5.012569907675984426e-03,2.912846739463690986e-03
6.617267913833917853e-03,3.413849016810183504e-03
9.747656341876385216e-03,4.331933523471371769e-03
1.278528583912010887e-02,5.207433963313585178e-03
1.574340506926393685e-02,6.078978026577551430e-03
1.863491130652635691e-02,6.965026227638194782e-03
2.147639240915444336e-02,7.865339327843764994e-03
2.428145994256959705e-02,8.791873237096653471e-03
2.706406267536448293e-02,9.753389977281999579e-03
2.983301379181140661e-02,1.076849226913549618e-02
3.259451443720939867e-02,1.185537561467227968e-02
3.535215329660875566e-02,1.303147417699397279e-02
3.810745101267617313e-02,1.431246092388922114e-02
4.085833151576841876e-02,1.571457598910758549e-02
4.359696872891364455e-02,1.725649276874337626e-02
4.631027927296706148e-02,1.895714163223836957e-02
4.899307364885890914e-02,2.082144614276482120e-02
5.164288829606403924e-02,2.285012133651650318e-02
5.425545941163050639e-02,2.504503694150514437e-02
5.682820107261644244e-02,2.740594122449941522e-02
5.685904803485514192e-02,2.738136926228851298e-02
5.500155509704059142e-02,2.440051077282095679e-02
5.305187815521996558e-02,2.152760015778172262e-02
5.100743128645131991e-02,1.876238568393944969e-02
4.886395068778277145e-02,1.610673707930590504e-02
4.661897279868915112e-02,1.356136938007483292e-02
4.426730812010067767e-02,1.113120614941849607e-02
4.179587327287259679e-02,8.835177756778677532e-03
3.919684218003303272e-02,6.691957598249677341e-03
3.646813877193878783e-02,4.717785807581070107e-03
3.361128369125651605e-02,2.928335352561485874e-03
3.062986562303653820e-02,1.341040396292557738e-03
2.753008571257788140e-02,-2.590355921058482003e-05
2.432075714415284085e-02,-1.153893793212245472e-03
2.101582868635410231e-02,-2.034168283827285720e-03
1.762891190460304930e-02,-2.654771121153306351e-03
1.417659465714676825e-02,-3.015941543842068015e-03
1.067177421820373479e-02,-3.099219037518644287e-03
7.127699251472806481e-03,-2.865975911942304864e-03
5.345660513274048606e-03,-2.604668117975510525e-03
3.560190293205432559e-03,-2.213135298934072997e-03
1.775222006315868096e-03,-1.621582210241288456e-03
8.850592485582771483e-04,-1.172477964022972238e-03
5.300375185553419166e-04,-9.236468471735446127e-04
3.529018721832423238e-04,-7.667630174449730418e-04
0.000000000000000000e+00,0.000000000000000000e+00
