X_Coordinate,Y_Coordinate
0.000000000000000000e+00,0.000000000000000000e+00
2.510542905181757179e-04,5.186961779650919044e-04
3.755625475560384540e-04,6.259107220673817192e-04
6.230262679436161279e-04,7.980569336802503062e-04
1.234004144674638506e-03,1.120715985734374977e-03
2.428074739427254353e-03,1.597796318407035182e-03
3.589281768259274061e-03,1.991410338777972137e-03
4.720584942473912173e-03,2.348510331267516290e-03
6.900802775177744194e-03,3.020921265537850585e-03
8.980959895817833272e-03,3.683437488399229388e-03
1.097191420652392051e-02,4.361211376781302593e-03
1.288488437890042762e-02,5.066233236267723115e-03
1.473473528902267612e-02,5.798743526076632210e-03
1.653425762473996821e-02,6.568015706398275776e-03
1.829663256303086169e-02,7.382187203962149377e-03
2.003049597554675335e-02,8.256571841497434977e-03
2.174177092433437000e-02,9.206595983881279976e-03
2.343350094914786047e-02,1.024721569536319807e-02
2.510627317312312534e-02,1.139194098606867087e-02
2.675703113042220485e-02,1.265387284956636521e-02
2.837752844647208061e-02,1.404630978116441949e-02
2.995512765435123792e-02,1.558105876182695748e-02
3.148391362961586865e-02,1.726091241305412194e-02
3.296040675584565455e-02,1.908580412666928405e-02
3.437993544883993086e-02,2.105580911188318846e-02
3.573949307623414812e-02,2.316963670718398191e-02
3.576379348974877137e-02,2.315875642556913111e-02
3.497399817995255206e-02,2.075556569042650082e-02
3.409408852616600122e-02,1.844019431086073996e-02
3.312105789602457634e-02,1.621135162535999874e-02
3.205023470532759877e-02,1.406911284313503915e-02
3.087813933765476068e-02,1.201341135600920117e-02
2.959885666856224354e-02,1.004703978548265181e-02
2.819974923112855344e-02,8.181805112519518336e-03
2.667257065078064426e-02,6.431005832427920919e-03
2.501426446168058051e-02,4.807742938776539410e-03
2.322541778696424197e-02,3.325526441690838941e-03
2.130907416638579133e-02,1.999312405420354891e-03
1.927115666199195193e-02,8.445271948422216485e-04
1.712030114543412057e-02,-1.235153673143796899e-04
1.486968879369085852e-02,-8.966778543199440191e-04
1.253211029461146105e-02,-1.465686805984236715e-03
1.012243052427125312e-02,-1.830301763089105249e-03
7.651868154274656456e-03,-1.978532420050905377e-03
5.131281086751413034e-03,-1.885226399939986556e-03
3.855899782256116091e-03,-1.730813127406235835e-03
2.572900979980603971e-03,-1.481975335575152694e-03
1.285244391228089261e-03,-1.091760740026404518e-03
6.412881690574475692e-04,-7.908181222532578540e-04
3.841517552165276089e-04,-6.233047499536644711e-04
2.557971248541777141e-04,-5.175379681367731034e-04
0.000000000000000000e+00,0.000000000000000000e+00
