X_Coordinate,Y_Coordinate
0.000000000000000000e+00,0.000000000000000000e+00
1.188183337353241253e-04,1.040001844044576669e-03
2.827217440535997580e-04,1.310364860429256767e-03
6.407758898529799336e-04,1.779012826177701510e-03
1.615616675026001949e-03,2.755917218353748366e-03
3.699126355707244972e-03,4.350268931061291450e-03
5.858382102110570519e-03,5.691955343943897946e-03
8.056879803597585474e-03,6.855256290099882160e-03
1.251473126189023288e-02,8.750816701808633580e-03
1.700787060455673932e-02,1.013670162901146934e-02
2.150137526119408685e-02,1.104208247560508477e-02
2.596589138669265495e-02,1.147396425739117924e-02
3.036942991370278344e-02,1.141828660011872699e-02
3.467442135198534753e-02,1.087932916956553704e-02
3.884056028419377582e-02,9.862764954204440715e-03
4.283108790115101178e-02,8.393043025083006189e-03
4.661604292265066757e-02,6.500138266648540844e-03
5.017476186416554296e-02,4.217280711768273127e-03
5.349650545441313881e-02,1.577156482321484532e-03
5.658208885678928796e-02,-1.387936041438751072e-03
5.944560624717103170e-02,-4.646320379065418602e-03
6.211209584225330094e-02,-8.171108638188010961e-03
6.459776088056352894e-02,-1.195553963810531105e-02
6.691448872214966759e-02,-1.600005702578895933e-02
6.907516693533122254e-02,-2.030563744509824436e-02
7.108883026691620310e-02,-2.487639390636250600e-02
7.104759304151815613e-02,-2.489907363624889458e-02
6.807508666654013552e-02,-2.092542674186045892e-02
6.502636870380515410e-02,-1.732403854009834446e-02
6.191047390012120732e-02,-1.409902204129182685e-02
5.874028982380779390e-02,-1.125135388930027791e-02
5.552770383491285877e-02,-8.781477731095273936e-03
5.228891917196385603e-02,-6.682632385975625575e-03
4.904897405165571656e-02,-4.927929961570832670e-03
4.582196264986546780e-02,-3.485693977433855853e-03
4.260870012998896339e-02,-2.323626053311638601e-03
3.939844722074367644e-02,-1.409040067324895951e-03
3.617054043760240672e-02,-7.087059866064081282e-04
3.289501850035880109e-02,-1.926489267088399987e-04
2.953512259983575791e-02,1.635801834153453871e-04
2.605054731868675436e-02,3.656543322390001793e-04
2.240372316667262748e-02,4.178531855399212486e-04
1.856266107644373095e-02,3.061163690670914983e-04
1.449800720289044428e-02,3.744889862219991095e-05
1.017483897560975126e-02,-3.589778218980490924e-04
7.899116908302514228e-03,-5.807084673245450392e-04
5.528346268573199225e-03,-7.834123296697366456e-04
3.026022945783413565e-03,-8.928095758353110168e-04
1.687019747719026123e-03,-8.275391694628182011e-04
1.115629837009755269e-03,-7.346999058909671736e-04
8.139741198136300152e-04,-6.546316208492639543e-04
0.000000000000000000e+00,0.000000000000000000e+00
